Order #,PO #,Order Method,Order Placed By,Date/Time Placed,Ordering Store,Ship To Name,Ship To Address,Customer PO #,Order Status,Updated,Estimated Ship Date,Delivery From,Ship By,Type,Shipping Account,Same Day Ship,Freight Fee Type,Line Count,SKU,UPC,Model,Short Product Description,Qty Ordered,Qty Allocated,Qty Cancelled,Qty Filled,Suggested Retail,Your Retail,Cost,Ext Cost,Future Reserve,Promo/Bulletin,POG Number,Item Status
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,300439,00009326329406,VOM205P.CL,Channellock 2.5 Gal. 2.0-Peak HP Wet/Dry Vacuum,1,0,0,0,42.99, - ,25.913,25.913, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,331401,00199167006991,VOC809PF 2001,Channellock 8 Gal. 4.0-Peak HP Wet/Dry Vacuum,1,0,0,0,99.99, - ,61.959,61.959, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,300451,00009326329376,VFDB.CL,Channellock Paper Standard 4 Gal. Filter Vacuum Bag (3-Pack),2,0,0,0,13.79, - ,4.666,9.332, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,353815,00009326326719,VDBL.CL,Channellock Paper Standard 12 to 16 Gal. Filter Vacuum Bag (3-Pack),2,0,0,0,26.49, - ,8.862,17.724, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,300447,00009326329321,V1UB.CL,Channellock 1-1/4 In. 2-In-1 Black Plastic Utility Vacuum Nozzle,1,0,0,0,7.39, - ,2.588,2.588, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,302261,00009326330266,CVDBS,Channellock Paper Standard 5 to 6 Gal. Filter Vacuum Bag (3-Pack),2,0,0,0,16.99, - ,5.448,10.896, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,365312,00009326329116,V2H7.CL,Channellock 2-1/2 In. Dia. x 7 Ft. L Black Plastic Wet/Dry Vacuum Hose with Adapters,1,0,0,0,32.99, - ,11.866,11.866, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,300443,00009326329307,V1FBS.CL,Channellock 1-1/4 In. x 10 In. Black Plastic Squeegee Vacuum Nozzle,1,0,0,0,13.99, - ,4.214,4.214, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,365330,00009326329147,V2FB.CL,Channellock 14 In. Black Plastic Professional Wet/Dry Vacuum Brush,1,0,0,0,24.49, - ,9.675,9.675, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,353780,00009326326696,VFF51.CL,Channellock Foam Standard 5 to 16 Gal. Vacuum Filter,2,0,0,0,8.29, - ,2.066,4.132, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,300448,00009326329338,V1MK.CL,Channellock 1-1/4 In. Detail Vacuum Accessory Kit (6-Piece),1,0,0,0,21.99, - ,8.493,8.493, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,300444,00009326329314,V1RB.CL,Channellock Round 1-1/4 In. Black Plastic Wet/Dry Vacuum Brush,1,0,0,0,13.79, - ,3.127,3.127, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,300449,00009326329345,V21A.CL,Channellock 2-1/2 In. to 1-1/4 In. Polypropylene Vacuum Tool Adapter,1,0,0,0,10.79, - ,3.048,3.048, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,353888,00009326326764,VCFF.CL,Channellock Cartridge Fine Dust 5 to 20 Gal. Vacuum Filter,2,0,0,0,27.99, - ,10.603,21.206, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,353860,00009326326740,VCR5.CL,Channellock Cloth Standard 5 Gal. Filter Vacuum Bag,2,0,0,0,15.99, - ,5.058,10.116, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,300450,00009326329352,VFF21.CL,Channellock Foam Standard 1 to 4 Gal. Wet/Dry Vacuum Filter,2,0,0,0,4.29, - ,1.478,2.956, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,353851,00009326326733,VHBL.CL,Channellock Paper High Efficiency 12 to 16 Gal. Filter Vacuum Bag (3-Pack),2,0,0,0,33.99, - ,11.728,23.456, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,300442,00009326329291,V1CT.CL,Channellock 1-1/4 In. x 9 In. L. Plastic Crevice Tool,1,0,0,0,10.29, - ,2.554,2.554, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,373554,00199167006977,VFF15 2001,Channellock Foam 1.5 Gal. Wet/Dry Vacuum Filter,2,0,0,0,9.49, - ,2.125,4.25, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,365321,00009326329123,V2EW.CL,Channellock 2-1/2 In. x 18 In. L. Plastic Wet/Dry Vacuum Extension Wand (2-Pack),1,0,0,0,14.79, - ,5.853,5.853, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,353879,00009326326757,VCFS.CL,Channellock Cartridge Standard 5 To 20 Gal. Vacuum Filter,2,0,0,0,21.99, - ,6.598,13.196, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:31,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,353897,00009326326771,VCFH.CL,Channellock Cartridge HEPA 5 to 20 Gal. Vacuum Filter,2,0,0,0,49.99, - ,14.144,28.288, - , - ,30-872,145
29574028-270-232399,WETDRY26,Member Catalog,BRAMIREZ@NTSERV.DOITBESTCORP.COM,3/25/2026 8:28,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/25/2026 8:30,5/14/2026,"Montgomery, NY",,Weekly Truck,, - ,,33,992569,00037193106707,7113894056,Siffron 12 In. Metal 2-Piece Fastback Peg Hook,17,0,17,0, - , - ,0,0, - , - ,30-872,000
